Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
26/03/2023;Uber *Uber *Trip;R$ 27,95;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;domingo;Final de Semana;Dentro da Média
27/03/2023;Uber *Uber *Trip;R$ 24,96;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;segunda-feira;Dias Úteis;Dentro da Média
28/03/2023;Uber *Uber *Trip;R$ 9,90;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;terça-feira;Dias Úteis;Dentro da Média
31/03/2023;Ebn *Spotify;R$ 9,90;ASSINATURAS;Nubank;Crédito;Fixa;Mallu;março;2023;sexta-feira;Final de Semana;Dentro da Média
01/04/2023;Uber *Uber *Trip;R$ 13,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
05/04/2023;Apple.Com/Bill;R$ 3,50;ASSINATURAS;Nubank;Crédito;Fixa;Willian;abril;2023;quarta-feira;Dias Úteis;Dentro da Média
05/04/2023;Amazonprimebr;R$ 14,90;ASSINATURAS;Nubank;Crédito;Fixa;Willian;abril;2023;quarta-feira;Dias Úteis;Dentro da Média
05/04/2023;tim;R$ 53,10;TELEFONE;Bradesco;A vista;Fixa;Willian;abril;2023;quarta-feira;Dias Úteis;Acima da Média
06/04/2023;internet;R$ 100,00;INTERNET;Bradesco;A vista;Fixa;Willian;abril;2023;quinta-feira;Dias Úteis;Acima da Média
06/04/2023;Uber *Uber *Trip;R$ 9,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;quinta-feira;Dias Úteis;Dentro da Média
07/04/2023;academia;R$ 85,00;ACADEMIA;Bradesco;A vista;Fixa;Willian;abril;2023;sexta-feira;Final de Semana;Acima da Média
08/04/2023;Ifood *Ifd*Farmacias;R$ 46,13;ALIMENTACAO;Nubank;Crédito;Variável;Willian;abril;2023;sábado;Final de Semana;Acima da Média
08/04/2023;spotify;R$ 5,80;ASSINATURAS;Bradesco;A vista;Fixa;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
08/04/2023;Hobby Bichos - 2/6;R$ 48,33;PET;Nubank;Crédito;Fixa;Willian;abril;2023;sábado;Final de Semana;Acima da Média
09/04/2023;Smith 03/12;R$ 29,90;EDUCAÇÃO;Bradesco;A vista;Fixa;Willian;abril;2023;domingo;Final de Semana;Acima da Média
10/04/2023;fogao 4/8;R$ 100,00;COMPRAS;Bradesco;A vista;Fixa;Mãe;abril;2023;segunda-feira;Dias Úteis;Acima da Média
11/04/2023;Roupa niver 03/05;R$ 25,00;MODA;Bradesco;A vista;Fixa;Willian;abril;2023;terça-feira;Dias Úteis;Dentro da Média
11/04/2023;Uber *Uber *Trip;R$ 16,96;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;terça-feira;Dias Úteis;Dentro da Média
12/04/2023;banana;R$ 4,00;ALIMENTACAO;Bradesco;A vista;Variável;Willian;abril;2023;quarta-feira;Dias Úteis;Dentro da Média
12/04/2023;Nutrihit - 1/3;R$ 56,68;NUTRIÇÃO;Nubank;Crédito;Fixa;Mallu;abril;2023;quarta-feira;Dias Úteis;Acima da Média
12/04/2023;Uber *Uber *Trip;R$ 9,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;quarta-feira;Dias Úteis;Dentro da Média
12/04/2023;Uber *Uber *Trip;R$ 22,95;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;quarta-feira;Dias Úteis;Dentro da Média
12/04/2023;Uber *Uber *Trip;R$ 10,92;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;quarta-feira;Dias Úteis;Dentro da Média
